iter	Passed	Remaining
409	4752	6839
410	4762	6825
411	4772	6811
412	4784	6799
413	4794	6786
414	4803	6771
415	4814	6758
416	4826	6747
417	4838	6737
418	4849	6724
419	4860	6711
420	4870	6698
421	4881	6686
422	4895	6677
423	4905	6664
424	4916	6652
425	4928	6640
426	4937	6625
427	4951	6617
428	4962	6605
429	4973	6592
430	4983	6579
431	4994	6567
432	5006	6555
433	5016	6542
434	5031	6534
435	5043	6524
436	5055	6513
437	5066	6501
438	5078	6489
439	5089	6477
440	5099	6463
441	5109	6450
442	5120	6438
443	5130	6425
444	5142	6414
445	5153	6401
446	5165	6390
447	5178	6381
448	5188	6367
449	5199	6354
450	5210	6342
451	5221	6330
452	5231	6316
453	5241	6304
454	5253	6292
455	5265	6281
456	5276	6269
457	5287	6257
458	5296	6243
459	5310	6233
460	5321	6221
461	5331	6208
462	5341	6195
463	5353	6184
464	5365	6173
465	5376	6160
466	5386	6148
467	5397	6135
468	5407	6122
469	5418	6110
470	5428	6096
471	5441	6087
472	5453	6076
473	5464	6063
474	5475	6052
475	5487	6040
476	5497	6027
477	5507	6014
478	5518	6001
479	5528	5988
480	5538	5976
481	5550	5964
482	5560	5952
483	5573	5942
484	5586	5931
485	5598	5920
486	5608	5907
487	5620	5896
488	5630	5883
489	5640	5870
490	5651	5858
491	5662	5846
492	5672	5833
493	5684	5823
494	5696	5811
495	5706	5798
496	5720	5789
497	5731	5777
498	5741	5764
499	5752	5752
500	5763	5740
501	5773	5727
502	5786	5717
503	5797	5705
504	5807	5692
505	5820	5682
506	5833	5672
507	5844	5660
508	5859	5652
509	5870	5640
510	5882	5629
511	5894	5618
512	5910	5610
513	5923	5601
514	5937	5592
515	5953	5584
516	5970	5577
517	5984	5568
518	6003	5563
519	6019	5556
520	6032	5546
521	6046	5536
522	6058	5526
523	6069	5513
524	6080	5501
525	6091	5489
526	6101	5476
527	6114	5466
528	6125	5453
529	6135	5440
530	6148	5430
531	6162	5420
532	6173	5408
533	6183	5395
534	6194	5384
535	6205	5372
536	6218	5361
537	6228	5348
538	6240	5337
539	6250	5324
540	6261	5312
541	6272	5300
542	6285	5290
543	6297	5278
544	6308	5266
545	6319	5254
546	6331	5243
547	6343	5232
548	6355	5220
549	6365	5208
550	6376	5196
551	6388	5184
552	6398	5171
553	6409	5160
554	6422	5149
555	6435	5138
556	6445	5126
557	6457	5114
558	6468	5102
559	6478	5090
560	6490	5078
561	6501	5066
562	6511	5053
563	6522	5041
564	6532	5029
565	6545	5019
566	6558	5008
567	6570	4996
568	6580	4984
569	6591	4972
570	6602	4960
571	6612	4947
572	6622	4935
573	6634	4923
574	6646	4912
575	6657	4900
576	6667	4888
577	6678	4875
578	6689	4863
579	6703	4854
580	6715	4842
581	6725	4830
582	6736	4818
583	6748	4807
584	6760	4795
585	6771	4783
586	6782	4772
587	6792	4759
588	6804	4747
589	6815	4735
590	6829	4726
591	6842	4716
592	6857	4706
593	6868	4694
594	6880	4683
595	6891	4671
596	6902	4659
597	6913	4647
598	6925	4636
599	6936	4624
600	6951	4615
601	6964	4604
602	6977	4593
603	6988	4582
604	7001	4571
605	7012	4559
606	7021	4546
607	7033	4534
608	7044	4522
609	7054	4510
610	7067	4499
611	7078	4487
612	7088	4475
613	7099	4462
614	7111	4451
615	7124	4441
616	7134	4428
617	7146	4417
618	7157	4405
619	7169	4394
620	7181	4382
621	7192	4370
622	7202	4358
623	7213	4346
624	7224	4334
625	7234	4322
626	7246	4310
627	7259	4300
628	7271	4288
629	7282	4276
630	7293	4265
631	7304	4253
632	7314	4240
633	7327	4229
634	7339	4218
635	7349	4206
636	7363	4195
637	7374	4184
638	7386	4172
639	7397	4161
640	7407	4148
641	7418	4136
642	7429	4125
643	7440	4112
644	7450	4100
645	7461	4088
646	7473	4077
647	7483	4065
648	7494	4053
649	7505	4041
650	7514	4028
651	7529	4019
652	7541	4007
653	7551	3995
654	7561	3982
655	7574	3971
656	7585	3959
657	7595	3947
658	7606	3935
659	7616	3923
660	7627	3911
661	7637	3899
662	7648	3887
663	7660	3876
664	7672	3864
665	7683	3853
666	7696	3842
667	7707	3830
668	7718	3818
669	7729	3806
670	7739	3794
671	7750	3783
672	7760	3770
673	7772	3759
674	7783	3747
675	7796	3736
676	7807	3725
677	7819	3713
678	7831	3702
679	7841	3690
680	7851	3678
681	7863	3666
682	7873	3654
683	7886	3643
684	7896	3631
685	7908	3620
686	7918	3607
687	7929	3595
688	7942	3585
689	7952	3572
690	7963	3561
691	7973	3549
692	7984	3537
693	7996	3525
694	8009	3514
695	8019	3502
696	8030	3491
697	8042	3479
698	8052	3467
699	8063	3455
700	8074	3443
701	8085	3432
702	8098	3421
703	8109	3409
704	8119	3397
705	8129	3385
706	8142	3374
707	8154	3363
708	8167	3352
709	8181	3341
710	8197	3331
711	8212	3321
712	8228	3312
713	8241	3301
714	8254	3290
715	8267	3279
716	8280	3268
717	8291	3256
718	8301	3244
719	8313	3233
720	8325	3221
721	8335	3209
722	8345	3197
723	8356	3185
724	8367	3173
725	8377	3161
726	8393	3151
727	8407	3141
728	8421	3130
729	8432	3118
730	8444	3107
731	8454	3095
732	8465	3083
733	8476	3071
734	8487	3060
735	8498	3048
736	8509	3036
737	8520	3024
738	8532	3013
739	8543	3001
740	8556	2990
741	8567	2978
742	8577	2967
743	8589	2955
744	8600	2943
745	8610	2931
746	8622	2920
747	8634	2908
748	8645	2897
749	8656	2885
750	8667	2873
751	8677	2861
752	8691	2850
753	8704	2840
754	8716	2828
755	8726	2816
756	8738	2805
757	8749	2793
758	8759	2781
759	8770	2769
760	8780	2757
761	8790	2745
762	8802	2734
763	8815	2723
764	8828	2712
765	8842	2701
766	8855	2690
767	8866	2678
768	8879	2667
769	8891	2655
770	8902	2644
771	8915	2633
772	8926	2621
773	8937	2609
774	8949	2598
775	8961	2586
776	8973	2575
777	8984	2563
778	8995	2552
779	9006	2540
780	9017	2528
781	9028	2516
782	9038	2505
783	9051	2493
784	9062	2481
785	9072	2469
786	9082	2458
787	9094	2446
788	9107	2435
789	9117	2423
790	9128	2412
791	9139	2400
792	9150	2388
793	9162	2377
794	9174	2365
795	9184	2353
796	9196	2342
797	9207	2330
798	9217	2318
799	9227	2306
800	9239	2295
801	9251	2284
802	9264	2272
803	9275	2261
804	9285	2249
805	9295	2237
806	9306	2225
807	9317	2214
808	9327	2202
809	9338	2190
810	9348	2178
811	9359	2167
812	9371	2155
813	9382	2144
814	9393	2132
815	9404	2120
816	9414	2108
817	9425	2097
818	9436	2085
819	9446	2073
820	9458	2062
821	9469	2050
822	9480	2038
823	9491	2027
824	9501	2015
825	9513	2004
826	9525	1992
827	9535	1980
828	9546	1969
829	9557	1957
830	9568	1945
831	9580	1934
832	9591	1922
833	9602	1911
834	9612	1899
835	9623	1887
836	9634	1876
837	9644	1864
838	9657	1853
839	9669	1841
840	9681	1830
841	9692	1818
842	9703	1807
843	9713	1795
844	9723	1783
845	9734	1771
846	9744	1760
847	9755	1748
848	9766	1736
849	9778	1725
850	9790	1714
851	9802	1702
852	9814	1691
853	9825	1679
854	9836	1668
855	9847	1656
856	9857	1644
857	9868	1633
858	9879	1621
859	9891	1610
860	9902	1598
861	9913	1587
862	9923	1575
863	9937	1564
864	9950	1553
865	9962	1541
866	9973	1529
867	9986	1518
868	9998	1507
869	10009	1495
870	10020	1484
871	10031	1472
872	10041	1460
873	10051	1449
874	10063	1437
875	10075	1426
876	10086	1414
877	10099	1403
878	10110	1391
879	10120	1380
880	10131	1368
881	10142	1356
882	10152	1345
883	10163	1333
884	10175	1322
885	10185	1310
886	10197	1299
887	10209	1287
888	10220	1276
889	10230	1264
890	10241	1252
891	10251	1241
892	10262	1229
893	10273	1218
894	10283	1206
895	10294	1194
896	10305	1183
897	10317	1171
898	10330	1160
899	10343	1149
900	10354	1137
901	10365	1126
902	10378	1114
903	10391	1103
904	10405	1092
905	10420	1081
906	10435	1070
907	10449	1058
908	10462	1047
909	10475	1036
910	10490	1024
911	10505	1013
912	10516	1002
913	10529	990
914	10539	979
915	10550	967
916	10560	955
917	10572	944
918	10583	932
919	10594	921
920	10604	909
921	10615	898
922	10628	886
923	10641	875
924	10652	863
925	10662	852
926	10673	840
927	10684	828
928	10694	817
929	10705	805
930	10716	794
931	10727	782
932	10739	771
933	10750	759
934	10760	748
935	10771	736
936	10782	724
937	10792	713
938	10805	701
939	10817	690
940	10829	678
941	10845	667
942	10857	656
943	10871	644
944	10882	633
945	10893	621
946	10903	610
947	10914	598
948	10924	587
949	10936	575
950	10948	564
951	10960	552
952	10971	541
953	10984	529
954	10996	518
955	11006	506
956	11017	495
957	11028	483
958	11038	471
959	11050	460
960	11062	448
961	11072	437
962	11083	425
963	11094	414
964	11105	402
965	11117	391
966	11130	379
967	11139	368
968	11150	356
969	11161	345
970	11173	333
971	11183	322
972	11194	310
973	11205	299
974	11216	287
